IRI	Direct	Inherited
http://purl.obolibrary.org/obo/HP_0001265	0	0
http://purl.obolibrary.org/obo/HP_0001266	0	0
http://purl.obolibrary.org/obo/HP_0001268	0	7
http://purl.obolibrary.org/obo/HP_0001269	0	0
http://purl.obolibrary.org/obo/HP_0001270	0	0
http://purl.obolibrary.org/obo/HP_0001272	0	0
http://purl.obolibrary.org/obo/HP_0001273	0	7
http://purl.obolibrary.org/obo/HP_0001274	7	0
http://purl.obolibrary.org/obo/HP_0001276	1	0
http://purl.obolibrary.org/obo/HP_0001279	2	0
http://purl.obolibrary.org/obo/HP_0001281	0	0
http://purl.obolibrary.org/obo/HP_0001288	5	0
http://purl.obolibrary.org/obo/HP_0001290	0	0
http://purl.obolibrary.org/obo/HP_0001298	1	0
http://purl.obolibrary.org/obo/HP_0001300	1	0
http://purl.obolibrary.org/obo/HP_0001302	0	0
http://purl.obolibrary.org/obo/HP_0001304	0	0
http://purl.obolibrary.org/obo/HP_0001310	1	0
http://purl.obolibrary.org/obo/HP_0001315	0	0
http://purl.obolibrary.org/obo/HP_0001319	0	0
http://purl.obolibrary.org/obo/HP_0001320	0	0
http://purl.obolibrary.org/obo/HP_0001321	0	0
http://purl.obolibrary.org/obo/HP_0001324	0	0
http://purl.obolibrary.org/obo/HP_0001325	0	0
http://purl.obolibrary.org/obo/HP_0001328	0	0
http://purl.obolibrary.org/obo/HP_0001332	1	1
http://purl.obolibrary.org/obo/HP_0001336	1	0
http://purl.obolibrary.org/obo/HP_0001337	0	0
http://purl.obolibrary.org/obo/HP_0001338	0	0
http://purl.obolibrary.org/obo/HP_0001344	1	0
http://purl.obolibrary.org/obo/HP_0001347	0	0
http://purl.obolibrary.org/obo/HP_0001348	0	0
http://purl.obolibrary.org/obo/HP_0001350	0	0
http://purl.obolibrary.org/obo/HP_0001357	0	0
http://purl.obolibrary.org/obo/HP_0001371	0	1
http://purl.obolibrary.org/obo/HP_0001373	0	1
http://purl.obolibrary.org/obo/HP_0001382	0	0
http://purl.obolibrary.org/obo/HP_0001385	0	0
http://purl.obolibrary.org/obo/HP_0001386	0	0
http://purl.obolibrary.org/obo/HP_0001387	0	0
http://purl.obolibrary.org/obo/HP_0001388	0	0
http://purl.obolibrary.org/obo/HP_0001392	1	9
http://purl.obolibrary.org/obo/HP_0001395	1	0
http://purl.obolibrary.org/obo/HP_0001397	0	0
http://purl.obolibrary.org/obo/HP_0001399	1	0
http://purl.obolibrary.org/obo/HP_0001405	0	0
http://purl.obolibrary.org/obo/HP_0001407	0	0
http://purl.obolibrary.org/obo/HP_0001410	0	1
http://purl.obolibrary.org/obo/HP_0001425	0	0
http://purl.obolibrary.org/obo/HP_0001427	0	0
http://purl.obolibrary.org/obo/HP_0001438	0	3
http://purl.obolibrary.org/obo/HP_0001476	0	0
http://purl.obolibrary.org/obo/HP_0001482	0	0
http://purl.obolibrary.org/obo/HP_0001488	0	0
http://purl.obolibrary.org/obo/HP_0001495	0	0
http://purl.obolibrary.org/obo/HP_0001507	0	6
http://purl.obolibrary.org/obo/HP_0001508	0	0
http://purl.obolibrary.org/obo/HP_0001510	0	2
http://purl.obolibrary.org/obo/HP_0001518	1	0
http://purl.obolibrary.org/obo/HP_0001520	0	0
http://purl.obolibrary.org/obo/HP_0001522	0	0
http://purl.obolibrary.org/obo/HP_0001525	0	0
http://purl.obolibrary.org/obo/HP_0001537	3	0
http://purl.obolibrary.org/obo/HP_0001541	1	0
http://purl.obolibrary.org/obo/HP_0001548	0	0
http://purl.obolibrary.org/obo/HP_0001555	0	0
http://purl.obolibrary.org/obo/HP_0001558	0	0
http://purl.obolibrary.org/obo/HP_0001560	1	1
http://purl.obolibrary.org/obo/HP_0001561	1	0
http://purl.obolibrary.org/obo/HP_0001574	0	41
http://purl.obolibrary.org/obo/HP_0001575	0	0
http://purl.obolibrary.org/obo/HP_0001583	0	0
http://purl.obolibrary.org/obo/HP_0001591	0	0
http://purl.obolibrary.org/obo/HP_0001597	0	1
http://purl.obolibrary.org/obo/HP_0001600	0	0
http://purl.obolibrary.org/obo/HP_0001601	0	0
http://purl.obolibrary.org/obo/HP_0001605	0	0
http://purl.obolibrary.org/obo/HP_0001611	0	0
http://purl.obolibrary.org/obo/HP_0001620	0	0
http://purl.obolibrary.org/obo/HP_0001623	0	0
http://purl.obolibrary.org/obo/HP_0001626	0	66
http://purl.obolibrary.org/obo/HP_0001627	0	0
http://purl.obolibrary.org/obo/HP_0001634	0	0
http://purl.obolibrary.org/obo/HP_0001636	0	0
http://purl.obolibrary.org/obo/HP_0001642	0	0
http://www.ebi.ac.uk/efo/EFO_0000988	0	0
http://www.ebi.ac.uk/efo/EFO_0002966	0	0
http://www.ebi.ac.uk/efo/EFO_0000949	0	0
http://www.ebi.ac.uk/efo/EFO_0003861	0	0
http://www.ebi.ac.uk/efo/EFO_0002962	0	0
http://www.ebi.ac.uk/efo/EFO_0001404	0	0
http://www.ebi.ac.uk/efo/EFO_0002534	0	0
http://purl.obolibrary.org/obo/PO_0020019	0	0
http://purl.obolibrary.org/obo/PO_0020048	0	0
http://purl.obolibrary.org/obo/PO_0000293	0	0
http://www.ebi.ac.uk/efo/EFO_0000795	0	0
http://www.ebi.ac.uk/efo/EFO_0002955	0	0
http://www.ebi.ac.uk/efo/EFO_0000998	0	1
http://www.ebi.ac.uk/efo/EFO_0000616	0	751
http://www.ebi.ac.uk/efo/EFO_0001986	0	0
http://www.ebi.ac.uk/efo/EFO_0003858	0	0
http://www.ebi.ac.uk/efo/EFO_0002963	0	0
http://www.ebi.ac.uk/efo/EFO_0000586	0	0
http://www.ebi.ac.uk/efo/EFO_0001955	0	0
http://purl.obolibrary.org/obo/MONDO_0021179	0	8
http://www.ebi.ac.uk/efo/EFO_0005772	4	71
http://purl.obolibrary.org/obo/MONDO_0002428	2	4
http://www.ebi.ac.uk/efo/EFO_0009561	0	0
http://purl.obolibrary.org/obo/MONDO_0017026	0	3
http://purl.obolibrary.org/obo/MONDO_0019338	3	0
http://purl.obolibrary.org/obo/MONDO_0000314	0	11
http://www.ebi.ac.uk/efo/EFO_0003955	0	5
http://www.ebi.ac.uk/efo/EFO_0000727	0	9
http://www.ebi.ac.uk/efo/EFO_0003333	0	0
http://www.ebi.ac.uk/efo/EFO_0003335	0	0
http://www.ebi.ac.uk/efo/EFO_0003334	0	0
